62;89;35;66;14;66;55;87;17;59;45;89;55;86;59;89;14;73;37;100;48;56;52;66;44;67;14;55;43;62;35;64;52;92;46;67;63;100;50;82;47;92;48;51
62;89;35;66;14;66;55;87;17;59;45;89;55;87;59;89;14;73;37;100;48;56;52;66;44;67;14;55;43;62;35;64;52;92;46;67;63;100;50;82;47;92;48;51
63;86;37;61;13;63;55;93;16;49;45;92;56;83;59;89;14;73;48;81;46;60;51;71;42;72;14;57;39;72;37;64;52;86;46;65;64;93;51;79;45;96;48;51
64;86;40;55;13;60;56;86;17;46;46;88;56;83;60;86;15;67;57;50;49;51;53;68;41;70;13;48;38;72;39;61;54;86;46;67;64;96;54;74;45;92;48;51
59;87;21;38;14;57;45;87;13;63;30;86;46;88;63;93;12;66;36;100;47;63;57;74;33;63;15;47;28;58;20;36;55;79;48;60;57;87;56;80;48;89;49;49
56;93;20;41;14;54;43;93;14;69;30;92;42;91;62;96;12;66;37;100;46;62;57;71;32;66;16;52;29;56;19;34;53;82;47;65;56;89;53;85;47;89;48;51
49;89;19;43;15;57;41;93;14;69;30;80;39;92;66;93;12;70;39;100;45;62;54;71;32;63;16;54;28;58;18;39;53;82;47;65;49;89;54;82;46;92;50;46
45;93;18;45;15;57;41;88;14;69;30;85;38;89;66;100;11;67;41;100;42;70;52;76;32;63;16;57;28;58;18;39;53;82;49;58;46;88;54;77;46;88;49;47
44;95;18;47;15;57;39;92;13;66;30;85;37;88;61;96;13;64;43;100;42;70;52;71;32;63;16;57;28;58;17;42;53;82;48;60;45;89;53;76;46;88;49;47
43;96;18;51;15;57;39;88;12;63;30;81;36;89;58;93;13;67;45;100;42;70;50;76;32;63;16;60;28;58;18;43;51;89;47;65;43;92;52;80;45;92;45;62
43;93;18;51;15;57;39;88;12;63;30;81;36;89;58;93;13;67;45;100;42;70;50;76;32;64;16;60;28;58;18;43;51;89;47;65;41;86;52;80;45;92;45;62
42;91;19;47;15;57;37;93;11;61;30;80;36;89;55;93;13;67;48;93;41;73;50;76;30;80;16;57;28;55;18;43;51;89;47;65;41;92;51;79;44;92;49;49
